Player,Team,Positions,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS
Brandon Belt,SF,1B,446.0,74.0,26.0,70.0,3.0,0.257,0.355,115.0,23.0,2.0,68.0,129.0,0.489,0.8440000000000001
Randy Arozarena,TB,"LF,RF",534.0,87.0,23.0,74.0,18.0,0.262,0.331,140.0,29.0,3.0,55.0,162.0,0.45299999999999996,0.784
Eddie Rosario,ATL,LF,476.0,67.0,23.0,78.0,8.0,0.267,0.314,127.0,24.0,2.0,33.0,78.0,0.467,0.7809999999999999
C.J. Cron,COL,1B,487.0,73.0,29.0,91.0,1.0,0.272,0.345,132.0,28.0,1.0,54.0,123.0,0.512,0.856
Jesus Sanchez,MIA,"LF,RF",478.0,62.0,23.0,71.0,3.0,0.254,0.314,121.0,19.0,4.0,42.0,142.0,0.46,0.774
Alec Bohm,PHI,3B,442.0,58.0,13.0,58.0,4.0,0.264,0.325,117.0,21.0,1.0,40.0,114.0,0.41,0.735
Frank Schwindel,CHC,1B,502.0,73.0,24.0,78.0,3.0,0.26899999999999996,0.315,135.0,28.0,1.0,33.0,99.0,0.47100000000000003,0.785
Charlie Blackmon,COL,RF,521.0,82.0,18.0,74.0,4.0,0.282,0.344,147.0,28.0,4.0,49.0,98.0,0.45,0.794
Tyler Naquin,CIN,"LF,CF,RF",439.0,59.0,18.0,65.0,5.0,0.264,0.315,116.0,25.0,2.0,32.0,116.0,0.44799999999999995,0.763
Cesar Hernandez,WSH,2B,493.0,71.0,13.0,53.0,3.0,0.259,0.32799999999999996,128.0,23.0,2.0,51.0,109.0,0.39399999999999996,0.722
Oneil Cruz,PIT,SS,424.0,58.0,18.0,60.0,12.0,0.264,0.32,112.0,22.0,4.0,35.0,114.0,0.45399999999999996,0.774
Anthony Rendon,LAA,3B,497.0,76.0,22.0,86.0,2.0,0.275,0.364,136.0,30.0,1.0,70.0,92.0,0.467,0.831
David Peralta,ARI,LF,470.0,57.0,12.0,65.0,2.0,0.268,0.32799999999999996,126.0,26.0,5.0,42.0,98.0,0.418,0.747
J.P. Crawford,SEA,SS,560.0,76.0,10.0,57.0,6.0,0.26,0.33,146.0,31.0,2.0,58.0,110.0,0.37200000000000005,0.7020000000000001
Trevor Story,BOS,SS,563.0,92.0,28.0,83.0,22.0,0.266,0.33299999999999996,150.0,35.0,4.0,56.0,155.0,0.485,0.818
Gleyber Torres,NYY,"2B,SS",516.0,70.0,19.0,71.0,11.0,0.265,0.337,137.0,26.0,1.0,57.0,116.0,0.43,0.768
Whit Merrifield,KC,"2B,RF",603.0,88.0,12.0,64.0,29.0,0.281,0.324,169.0,35.0,4.0,38.0,97.0,0.41,0.733
Josh Rojas,ARI,"2B,3B,SS,LF,RF",496.0,73.0,13.0,53.0,12.0,0.256,0.335,127.0,29.0,3.0,58.0,130.0,0.40299999999999997,0.738
J.T. Realmuto,PHI,"C,1B",507.0,76.0,21.0,77.0,10.0,0.262,0.326,133.0,26.0,3.0,48.0,134.0,0.44799999999999995,0.773
