Brandon Belt:0.020908123603775725
Luke Voit:0.03768871221657602
J.T. Realmuto:0.05416154021417181
Frank Schwindel:0.05972782265932941
Eddie Rosario:0.08246444023529162
Seiya Suzuki:0.08710240024344795
Kike Hernandez:0.10010491387302992
Charlie Blackmon:0.10701963536458314
Anthony Santander:0.11134073181637533
Randy Arozarena:0.11902775735684265
Trey Mancini:0.13761733425813524
Willy Adames:0.1380750339487445
Anthony Rendon:0.13962583617512878
Nathaniel Lowe:0.145185777754271
Yoan Moncada:0.15901598293225333
Anthony Rizzo:0.17495089331063815
Marcell Ozuna:0.20343919132735444
Christian Yelich:0.22848769266160576
Brandon Crawford:0.26915538847117804
AJ Pollock:0.29860883572504787
Luis Urias:0.3024881201688154
Gleyber Torres:0.3203514749658148
Jesus Sanchez:0.3335078655489787
C.J. Cron:0.3576441435670298
Alex Bregman:0.3620144009301366
Carlos Correa:0.3919941003371236
Francisco Lindor:0.40381184952613514
Joey Votto:0.4109444444444443
Trevor Story:0.457660313302901
Eloy Jimenez:0.4913572411053268
Giancarlo Stanton:0.530577571379429
J.D. Martinez:0.5848633516977542
Christian Walker:0.6191749963783862
Ramon Laureano:0.6443140467716739
Ke'Bryan Hayes:0.6465412365412366
Daulton Varsho:0.6546574474990303
Tyler Naquin:0.7007004763046552
Whit Merrifield:0.771290120136274
Tommy Pham:0.796069449518938
Oneil Cruz:0.8269690749863163
Andrew Vaughn:0.9014912740074268
Eric Hosmer:0.9699130708001675
Garrett Cooper:1.0912785255406996
Jeff McNeil:1.1515915225125752
Josh Rojas:1.1787465416058533
Cesar Hernandez:1.1953201266059712
Yandy Diaz:1.1956158314556535
Jeremy Pena:1.2720796960049296
David Peralta:1.2894367328577854
Alec Bohm:1.298193339227822
Tyler Stephenson:1.3814551996329913
J.P. Crawford:1.4725787070415763
Pavin Smith:1.5277948717948717
